0.982477,1.085805,1.2,0.888982
0.888982,0.982477,1.085805,0.804384
0.804384,0.888982,0.982477,0.727837
0.727837,0.804384,0.888982,0.658574
0.658574,0.727837,0.804384,0.595902
0.595902,0.658574,0.727837,0.539195
0.539195,0.595902,0.658574,0.487884
0.487884,0.539195,0.595902,0.441455
0.441455,0.487884,0.539195,0.399445
0.399445,0.441455,0.487884,0.361433
0.361433,0.399445,0.441455,0.327038
0.327038,0.361433,0.399445,0.295916
0.295916,0.327038,0.361433,0.267756
0.267756,0.295916,0.327038,0.242276
0.242276,0.267756,0.295916,0.21922
0.21922,0.242276,0.267756,0.246463
0.246463,0.21922,0.242276,0.307757
0.307757,0.246463,0.21922,0.397178
0.397178,0.307757,0.246463,0.494698
0.494698,0.397178,0.307757,0.583265
0.583265,0.494698,0.397178,0.655619
0.655619,0.583265,0.494698,0.710732
0.710732,0.655619,0.583265,0.750036
0.750036,0.710732,0.655619,0.77563
0.77563,0.750036,0.710732,0.78963
0.78963,0.77563,0.750036,0.793964
0.793964,0.78963,0.77563,0.79033
0.79033,0.793964,0.78963,0.780201
0.780201,0.79033,0.793964,0.764842
0.764842,0.780201,0.79033,0.745342
0.745342,0.764842,0.780201,0.722627
0.722627,0.745342,0.764842,0.697486
0.697486,0.722627,0.745342,0.675245
0.675245,0.697486,0.722627,0.663863
0.663863,0.675245,0.697486,0.668461
0.668461,0.663863,0.675245,0.690802
0.690802,0.668461,0.663863,0.728579
0.728579,0.690802,0.668461,0.77708
0.77708,0.728579,0.690802,0.830922
0.830922,0.77708,0.728579,0.885404
0.885404,0.830922,0.77708,0.937379
0.937379,0.885404,0.830922,0.985353
0.985353,0.937379,0.885404,1.028993
1.028993,0.985353,0.937379,1.068476
1.068476,1.028993,0.985353,1.104007
1.104007,1.068476,1.028993,1.135587
1.135587,1.104007,1.068476,1.162981
1.162981,1.135587,1.104007,1.185804
1.185804,1.162981,1.135587,1.203651
1.203651,1.185804,1.162981,1.216485
1.216485,1.203651,1.185804,1.225608
1.225608,1.216485,1.203651,1.233433
1.233433,1.225608,1.216485,1.242714
1.242714,1.233433,1.225608,1.255372
1.255372,1.242714,1.233433,1.271314
1.271314,1.255372,1.242714,1.287582
1.287582,1.271314,1.255372,1.298593
1.298593,1.287582,1.271314,1.298236
1.298236,1.298593,1.287582,1.282756
1.282756,1.298236,1.298593,1.251977
1.251977,1.282756,1.298236,1.208379
1.208379,1.251977,1.282756,1.155518
1.155518,1.208379,1.251977,1.096929
1.096929,1.155518,1.208379,1.035636
1.035636,1.096929,1.155518,0.974022
0.974022,1.035636,1.096929,0.91388
